Rk,Player,Team,Conf,G,Receiving_Rec,Receiving_Yds,Receiving_Yards_Per_Rec,Receiving_TD,Receiving_Yards_Per_Game,Rushing_Att,Rushing_Yds,Rushing_Yards_Per_Att,Rushing_TD,Rushing_Yards_Per_Game,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Yards_Per_Play,Scrimmage_TD,Awards
1451,Henry Parrish Jr.*,Miami (FL),ACC,11,11,32,2.9,0,2.9,100,625,6.3,6,56.8,111,657,5.9,6,
1452,Jabari Bates*,San Jose State,MWC,13,9,32,3.6,0,2.5,11,30,2.7,0,2.3,20,62,3.1,0,
1453,Jacob Barrick*,Jacksonville State,CUSA,8,3,32,10.7,0,4,0,0,,0,0,3,32,10.7,0,
1454,Kalel Mullings*,Michigan,Big Ten,13,2,32,16,0,2.5,36,222,6.2,1,17.1,38,254,6.7,1,
1455,Kanon Woodill*,Northern Illinois,MAC,13,1,32,32,1,2.5,0,0,,0,0,1,32,32,1,
1456,Kobe Johnson,Colorado State,MWC,4,4,32,8,0,8,44,128,2.9,1,32,48,160,3.3,1,
1457,Matt Sykes*,Rice,American,10,1,32,32,0,3.2,0,0,,0,0,1,32,32,0,
1458,Nehemiah Martinez*,Texas Tech,Big 12,11,2,32,16,0,2.9,13,68,5.2,0,6.2,15,100,6.7,0,
1459,Vince Brown II,Colorado State,MWC,12,4,32,8,0,2.7,0,0,,0,0,4,32,8,0,
1460,Bryce Williams*,Minnesota,Big Ten,4,4,31,7.8,0,7.8,36,123,3.4,1,30.8,40,154,3.9,1,
1461,DeAndre Buchannon*,Georgia Southern,Sun Belt,13,4,31,7.8,0,2.4,0,0,,0,0,4,31,7.8,0,
1462,Gunner Gentry*,Wyoming,MWC,12,3,31,10.3,1,2.6,0,0,,0,0,3,31,10.3,1,
1463,Jacob Hopper*,South Alabama,Sun Belt,10,3,31,10.3,1,3.1,0,0,,0,0,3,31,10.3,1,
