Rk,Player,Team,Conf,G,Receiving_Rec,Receiving_Yds,Receiving_Yards_Per_Rec,Receiving_TD,Receiving_Yards_Per_Game,Rushing_Att,Rushing_Yds,Rushing_Yards_Per_Att,Rushing_TD,Rushing_Yards_Per_Game,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Yards_Per_Play,Scrimmage_TD,Awards
1,Danny Scudero,San Jose State,MWC,12,88,1297,14.7,10,108.1,0,0,,0,0,88,1297,14.7,10,
2,Skyler Bell*,Connecticut,Ind,13,101,1278,12.7,13,98.3,2,-2,-1,0,-0.2,103,1276,12.4,13,AA
3,Wyatt Young*,North Texas,American,14,70,1264,18.1,10,90.3,3,16,5.3,1,1.1,73,1280,17.5,11,
4,Jeremiah Smith,Ohio State,Big Ten,13,87,1243,14.3,12,95.6,3,21,7,1,1.6,90,1264,14,13,H-6AA
5,Malachi Toney*,Miami (FL),ACC,16,109,1211,11.1,10,75.7,23,113,4.9,1,7.1,132,1324,10,11,
6,Beau Sparks*,Texas State,Sun Belt,13,84,1200,14.3,10,92.3,6,74,12.3,1,5.7,90,1274,14.2,11,
7,Eric McAlister*,Texas Christian,Big 12,13,72,1190,16.5,10,91.5,0,0,,0,0,72,1190,16.5,10,
8,Makai Lemon*,USC,Big Ten,12,79,1156,14.6,11,96.3,9,4,0.4,2,0.3,88,1160,13.2,13,AA
9,Cooper Barkate*,Duke,ACC,14,72,1106,15.4,7,79,0,0,,0,0,72,1106,15.4,7,
10,KJ Duff,Rutgers,Big Ten,12,60,1084,18.1,7,90.3,0,0,,0,0,60,1084,18.1,7,
11,Duce Robinson,Florida State,ACC,12,56,1081,19.3,6,90.1,0,0,,0,0,56,1081,19.3,6,
12,Camden Brown*,Georgia Southern,Sun Belt,13,65,1079,16.6,14,83,0,0,,0,0,65,1079,16.6,14,
13,Brenen Thompson*,Mississippi State,SEC,13,57,1054,18.5,6,81.1,4,14,3.5,1,1.1,61,1068,17.5,7,
14,Anthony Smith*,East Carolina,American,13,64,1053,16.5,7,81,1,45,45,1,3.5,65,1098,16.9,8,
15,Easton Messer,Florida Atlantic,American,12,104,1052,10.1,6,87.7,3,45,15,1,3.8,107,1097,10.3,7,
16,Chase Hendricks*,Ohio,MAC,13,71,1037,14.6,7,79.8,1,1,1,0,0.1,72,1038,14.4,7,
17,Corey Rucker*,Arkansas State,Sun Belt,13,75,1032,13.8,4,79.4,4,16,4,0,1.2,79,1048,13.3,4,
18,Jacob De Jesus*,California,ACC,13,108,1030,9.5,6,79.2,7,-7,-1,0,-0.5,115,1023,8.9,6,
19,Chris Brazzell II*,Tennessee,SEC,12,62,1017,16.4,9,84.8,0,0,,0,0,62,1017,16.4,9,
20,Junior Vandeross III*,Toledo,MAC,13,82,1008,12.3,11,77.5,2,5,2.5,0,0.4,84,1013,12.1,11,
21,Chris Dawn Jr.*,Texas State,Sun Belt,12,65,1007,15.5,4,83.9,1,-2,-2,0,-0.2,66,1005,15.2,4,
22,Ted Hurst,Georgia State,Sun Belt,12,71,1004,14.1,6,83.7,0,0,,0,0,71,1004,14.1,6,
23,Lewis Bond,Boston College,ACC,12,88,993,11.3,1,82.8,4,3,0.8,0,0.3,92,996,10.8,1,
24,Nik McMillan,Buffalo,MAC,12,62,981,15.8,3,81.8,0,0,,0,0,62,981,15.8,3,
25,Kamryn Perry*,Miami (OH),MAC,14,43,976,22.7,6,69.7,0,0,,0,0,43,976,22.7,6,
26,Amare Thomas*,Houston,Big 12,13,67,966,14.4,12,74.3,5,9,1.8,0,0.7,72,975,13.5,12,
27,Isaiah Sategna,Oklahoma,SEC,13,67,965,14.4,8,74.2,4,24,6,0,1.8,71,989,13.9,8,
28,Jackson Harris*,Hawaii,MWC,11,49,963,19.7,12,87.5,0,0,,0,0,49,963,19.7,12,
29,Gabriel Benyard*,Kennesaw State,CUSA,14,60,949,15.8,9,67.8,17,117,6.9,1,8.4,77,1066,13.8,10,
30,Eli Heidenreich*,Navy,American,13,51,941,18.5,6,72.4,77,499,6.5,3,38.4,128,1440,11.3,9,
31,Omar Cooper Jr.*,Indiana,Big Ten,16,69,937,13.6,13,58.6,3,74,24.7,1,4.6,72,1011,14,14,
32,Harrison Wallace III*,Ole Miss,SEC,15,61,934,15.3,4,62.3,3,1,0.3,0,0.1,64,935,14.6,4,
33,Jaden Bradley*,Nevada-Las Vegas,MWC,14,58,931,16.1,4,66.5,1,15,15,0,1.1,59,946,16,4,
34,Parker Kingston*,BYU,Big 12,14,67,928,13.9,5,66.3,25,119,4.8,3,8.5,92,1047,11.4,8,
35,Iverson Hooks,UAB,American,12,72,927,12.9,7,77.3,1,0,0,0,0,73,927,12.7,7,
36,Braden Pegan*,Utah State,MWC,12,60,926,15.4,5,77.2,4,11,2.8,1,0.9,64,937,14.6,6,
37,Kevin Concepcion,Texas A&M,SEC,13,61,919,15.1,9,70.7,10,75,7.5,1,5.8,71,994,14,10,AA
38,Chris Bell*,Louisville,ACC,11,72,917,12.7,6,83.4,0,0,,0,0,72,917,12.7,6,
39,Mario Craver,Texas A&M,SEC,12,59,917,15.5,4,76.4,11,81,7.4,1,6.8,70,998,14.3,5,
40,Cameron Dorner*,North Texas,American,14,56,911,16.3,8,65.1,1,2,2,0,0.1,57,913,16,8,
41,Cortez Braham*,Memphis,American,12,63,889,14.1,8,74.1,0,0,,0,0,63,889,14.1,8,
42,Matthew Henry*,Western Kentucky,CUSA,13,55,888,16.1,6,68.3,3,-6,-2,0,-0.5,58,882,15.2,6,
43,Denzel Boston*,Washington,Big Ten,12,62,881,14.2,11,73.4,0,0,,0,0,62,881,14.2,11,
44,Griffin Wilde*,Northwestern,Big Ten,13,71,880,12.4,8,67.7,1,5,5,0,0.4,72,885,12.3,8,
45,Keshaun Singleton*,South Florida,American,12,50,877,17.5,8,73.1,0,0,,0,0,50,877,17.5,8,
46,Sean Wilson*,Delaware,CUSA,13,68,877,12.9,3,67.5,0,0,,0,0,68,877,12.9,3,
47,Carnell Tate,Ohio State,Big Ten,11,51,875,17.2,9,79.5,2,16,8,0,1.5,53,891,16.8,9,
48,Josh Cameron,Baylor,Big 12,12,69,872,12.6,9,72.7,0,0,,0,0,69,872,12.6,9,
49,Hank Beatty*,Illinois,Big Ten,13,70,864,12.3,3,66.5,4,46,11.5,1,3.5,74,910,12.3,4,
50,Germie Bernard,Alabama,SEC,14,64,862,13.5,7,61.6,18,101,5.6,2,7.2,82,963,11.7,9,
51,Trell Harris*,Virginia,ACC,13,59,847,14.4,5,65.2,0,0,,0,0,59,847,14.4,5,
52,Caleb Douglas,Texas Tech,Big 12,14,54,846,15.7,7,60.4,0,0,,0,0,54,846,15.7,7,
53,Sean Brown*,Duke,ACC,14,64,846,13.2,5,60.4,2,-13,-6.5,0,-0.9,66,833,12.6,5,
54,Alex Perry*,Florida International,CUSA,13,56,840,15,9,64.6,0,0,,0,0,56,840,15,9,
55,Braylon Staley*,Tennessee,SEC,13,68,837,12.3,6,64.4,0,0,,0,0,68,837,12.3,6,
56,T.J. Moore*,Clemson,ACC,13,52,837,16.1,4,64.4,2,8,4,0,0.6,54,845,15.6,4,
57,Ryan Wingo*,Texas,SEC,13,54,834,15.4,7,64.2,7,42,6,0,3.2,61,876,14.4,7,
58,Anthony Evans III*,Mississippi State,SEC,13,67,831,12.4,4,63.9,7,47,6.7,0,3.6,74,878,11.9,4,
59,Elijah Sarratt*,Indiana,Big Ten,14,65,830,12.8,15,59.3,0,0,,0,0,65,830,12.8,15,
60,Pofele Ashlock*,Hawaii,MWC,13,76,827,10.9,8,63.6,0,0,,0,0,76,827,10.9,8,
61,Kyre Duplessis*,Delaware,CUSA,13,60,824,13.7,5,63.4,3,19,6.3,0,1.5,63,843,13.4,5,
62,Trent Walker,Oregon State,Ind,12,68,823,12.1,2,68.6,0,0,,0,0,68,823,12.1,2,
63,Victor Snow,Buffalo,MAC,12,62,815,13.1,8,67.9,12,91,7.6,2,7.6,74,906,12.2,10,
64,Mike Matthews*,Tennessee,SEC,13,53,813,15.3,4,62.5,2,32,16,0,2.5,55,845,15.4,4,
65,De'Zhaun Stribling*,Ole Miss,SEC,15,55,811,14.7,6,54.1,0,0,,0,0,55,811,14.7,6,
66,Zachariah Branch,Georgia,SEC,14,81,811,10,6,57.9,4,7,1.8,0,0.5,85,818,9.6,6,
67,Omarion Miller,Colorado,Big 12,11,45,808,18,8,73.5,0,0,,0,0,45,808,18,8,
68,Tre Richardson*,Vanderbilt,SEC,13,46,806,17.5,7,62,11,62,5.6,0,4.8,57,868,15.2,7,
69,Chase Roberts*,BYU,Big 12,13,54,802,14.9,6,61.7,0,0,,0,0,54,802,14.9,6,
70,Chauncy Cobb*,Arkansas State,Sun Belt,13,73,797,10.9,1,61.3,1,-2,-2,0,-0.2,74,795,10.7,1,
71,Marcus Sanders Jr.*,Georgia Southern,Sun Belt,13,50,797,15.9,5,61.3,0,0,,0,0,50,797,15.9,5,
72,Trond Grizzell*,California,ACC,13,55,788,14.3,1,60.6,0,0,,0,0,55,788,14.3,1,
73,Junior Sherrill*,Vanderbilt,SEC,13,54,784,14.5,7,60.3,4,16,4,1,1.2,58,800,13.8,8,
74,Devin Voisin,South Alabama,Sun Belt,12,67,776,11.6,4,64.7,0,0,,0,0,67,776,11.6,4,
75,Keagan Johnson*,New Mexico,MWC,12,61,772,12.7,3,64.3,2,9,4.5,0,0.8,63,781,12.4,3,
76,Demarcus Lacey,Marshall,Sun Belt,12,65,769,11.8,5,64.1,19,157,8.3,0,13.1,84,926,11,5,
77,Eli Stowers*,Vanderbilt,SEC,12,62,769,12.4,4,64.1,2,2,1,0,0.2,64,771,12,4,AA
78,O'Mega Blake,Arkansas,SEC,12,58,769,13.3,5,64.1,0,0,,0,0,58,769,13.3,5,
79,Kyri Shoels,San Jose State,MWC,12,59,768,13,2,64,0,0,,0,0,59,768,13,2,
80,Emmanuel Henderson,Kansas,Big 12,12,45,766,17,5,63.8,4,16,4,0,1.3,49,782,16,5,
81,Jordan Hudson*,SMU,ACC,11,61,766,12.6,6,69.6,1,6,6,0,0.5,62,772,12.5,6,
82,Kris Hutson*,Arizona,Big 12,12,60,764,12.7,4,63.7,2,14,7,0,1.2,62,778,12.5,4,
83,Ian Strong,Rutgers,Big Ten,10,52,762,14.7,5,76.2,0,0,,0,0,52,762,14.7,5,
84,Tre Brown*,Old Dominion,Sun Belt,13,38,762,20.1,4,58.6,0,0,,0,0,38,762,20.1,4,
85,CJ Williams,Stanford,ACC,12,59,749,12.7,6,62.4,0,0,,0,0,59,749,12.7,6,
86,Keelan Marion*,Miami (FL),ACC,16,57,746,13.1,2,46.6,4,25,6.3,0,1.6,61,771,12.6,2,
87,Ja'Kobi Lane*,USC,Big Ten,11,49,745,15.2,4,67.7,0,0,,0,0,49,745,15.2,4,
88,Brady Boyd*,Utah State,MWC,13,46,743,16.2,8,57.2,2,10,5,0,0.8,48,753,15.7,8,
89,Javen Nicholas,Charlotte,American,12,60,740,12.3,5,61.7,7,36,5.1,0,3,67,776,11.6,5,
90,Kevin Coleman Jr.*,Missouri,SEC,13,66,732,11.1,1,56.3,9,76,8.4,0,5.8,75,808,10.8,1,
91,Jordan Dwyer*,Texas Christian,Big 12,12,54,730,13.5,7,60.8,0,0,,0,0,54,730,13.5,7,
92,Tanner Koziol*,Houston,Big 12,13,74,727,9.8,6,55.9,0,0,,0,0,74,727,9.8,6,
